Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
"https://www.stockspot.com.au/","200","192.168.1.1","['13.210.224.193', '13.55.150.53', '3.25.13.159']","['HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))']","['192.168.1.1', '10.20.22.111', '203.221.3.65', '15.230.210.32', '15.230.210.41', '15.230.210.136', '15.230.211.20', '13.210.224.193']","8","[]","[]","['13.55.150.53', '3.25.13.159', '13.210.224.193']","['13.210.224.193', '3.25.13.159', '13.55.150.53']","[]","[]","['HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))']","['HTTPSConnectionPool(host=\'13.210.224.193\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.210.224.193\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'3.25.13.159\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'3.25.13.159\'. (_ssl.c:1000)"")))', 'HTTPSConnectionPool(host=\'13.55.150.53\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \'13.55.150.53\'. (_ssl.c:1000)"")))']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
"http://www.anime-sharing.com/","200","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '122.49.143.2', '150.101.33.165', '202.136.99.184']","8","[]","[]","['104.21.2.88', '172.67.128.253']","['104.21.2.88', '172.67.128.253']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False']","['False']"
"https://www.imovies.cc","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a3ca10>: Failed to establish a new connection: [Errno 61] Connection refused'))","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '122.49.143.2', '150.101.33.165', '202.136.99.184']","8","[]","[]","['172.67.129.100', '104.21.2.164']","['104.21.2.164', '172.67.129.100']","[]","[]","[403, 403]","[403, 403]","N/A","[]","[]","['False', 'False']","['False', 'False']","N/A","[]","[]","['True', 'True']","['True', 'True']","['False']","['False']"
"http://animereborn.io/","200","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '150.101.33.165', '122.49.143.2', '202.136.99.184']","8","[]","[]","['103.224.212.211']","['103.224.212.211']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"http://unblockproject.pw/","200","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '150.101.33.165', '122.49.143.2', '202.136.99.184']","8","[]","[]","['72.52.179.174']","['72.52.179.174']","[]","[]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://animelon.com/","HTTPSConnectionPool(host='animelon.com'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1074974d0>: Failed to establish a new connection: [Errno 61] Connection refused'))","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '150.101.33.165', '122.49.143.2', '202.136.99.184']","8","[]","[]","['172.67.220.248', '104.21.78.122']","['172.67.220.248', '104.21.78.122']","[]","[]","[403, 403]","[403, 403]","N/A","[]","[]","['False', 'False']","['False', 'False']","N/A","[]","[]","['True', 'True']","['True', 'True']","['False']","['False']"
"https://getpopcorntime.is/","HTTPSConnectionPool(host='getpopcorntime.is'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a3e7b0>: Failed to establish a new connection: [Errno 61] Connection refused'))","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '150.101.33.165', '122.49.143.2', '202.136.99.184']","8","[]","[]","['91.195.240.135']","['91.195.240.135']","[]","[]","[442]","[442]","N/A","[]","[]","['False']","['False']","N/A","[]","[]","['False']","['False']","['False']","['False']"
"https://animehd47.com/","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a6ddf0>: Failed to establish a new connection: [Errno 61] Connection refused'))","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '122.49.143.2', '150.101.33.165', '202.136.99.184']","8","[]","[]","['3.19.116.195', '3.18.7.81']","['3.94.41.167', '52.86.6.113']","[]","[]","[404, 404]","[404, 404]","N/A","[]","[]","['False', 'False']","['False', 'False']","N/A","[]","[]","['False', 'False']","['False', 'False']","['False']","['False']"
"https://lookmovie.ag/","HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x107467890>: Failed to establish a new connection: [Errno 61] Connection refused'))","192.168.1.1","['202.136.99.184']","[200]","['192.168.1.1', '10.20.22.111', '203.221.3.7', '203.219.107.254', '150.101.33.33', '150.101.33.165', '122.49.143.2', '202.136.99.184']","8","[]","[]","['45.134.173.163']","['45.134.173.163']","[]","[]","[200]","[200]","N/A","[]","[]","['False']","['False']","N/A","[]","[]","['False']","['False']","['False']","['False']"
"https://katcr.to/","HTTPSConnectionPool(host='katcr.to'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111aab740>: Failed to establish a new connection: [Errno 61] Connection refused'))","192.168.1.1","['202.136.99.184']","[200]","[]","0","[]","[]","['104.21.96.9', '172.67.150.31']","['104.21.96.9', '172.67.150.31']","[]","[]","[403, 403]","[403, 403]","N/A","[]","[]","['False', 'False']","['False', 'False']","N/A","[]","[]","['True', 'True']","['True', 'True']","['False']","['False']"
