File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,,Method
ISP_BS_AussieBroadband_25Apr_2024.csv,https://www.stockspot.com.au/,FALSE,FALSE,TRUE,FALSE,200,"['\'HTTPSConnectionPool(host=\\\'13.210.224.193\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.210.224.193\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'13.55.150.53\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.55.150.53\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'3.25.13.159\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'3.25.13.159\\\'. (_ssl.c:1000)"")))\'']","['\'HTTPSConnectionPool(host=\\\'3.25.13.159\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'3.25.13.159\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'13.210.224.193\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.210.224.193\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'13.55.150.53\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.55.150.53\\\'. (_ssl.c:1000)"")))\'']",['200'],"['\'HTTPSConnectionPool(host=\\\'13.210.224.193\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.210.224.193\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'13.55.150.53\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.55.150.53\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'3.25.13.159\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'3.25.13.159\\\'. (_ssl.c:1000)"")))\'']","['\'HTTPSConnectionPool(host=\\\'3.25.13.159\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'3.25.13.159\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'13.210.224.193\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.210.224.193\\\'. (_ssl.c:1000)"")))\'', '\'HTTPSConnectionPool(host=\\\'13.55.150.53\\\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch; certificate is not valid for \\\'13.55.150.53\\\'. (_ssl.c:1000)"")))\'']","['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,http://www.anime-sharing.com/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,https://www.imovies.cc,FALSE,FALSE,TRUE,FALSE,403,['403'],['403'],['403'],['403'],['403'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",DNS Poisoning
ISP_BS_AussieBroadband_25Apr_2024.csv,http://animereborn.io/,FALSE,FALSE,TRUE,FALSE,200,['200'],['200'],['200'],['200'],['200'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,http://unblockproject.pw/,FALSE,FALSE,TRUE,FALSE,('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response')),"['""(\'Connection aborted.\'; RemoteDisconnected(\'Remote end closed connection without response\'))""']","['""(\'Connection aborted.\'; RemoteDisconnected(\'Remote end closed connection without response\'))""']","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","['""(\'Connection aborted.\'; RemoteDisconnected(\'Remote end closed connection without response\'))""']","['""(\'Connection aborted.\'; RemoteDisconnected(\'Remote end closed connection without response\'))""']","['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,https://animelon.com/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,https://getpopcorntime.is/,FALSE,FALSE,TRUE,FALSE,HTTPSConnectionPool(host='getpopcorntime.is'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8; '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)'))),['442'],['442'],"[""HTTPSConnectionPool(host='getpopcorntime.is'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8; '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))""]",['442'],['442'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,https://animehd47.com/,FALSE,FALSE,FALSE,FALSE,HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CFDC8C6F30>; 'Connection to animehd47.com timed out. (connect timeout=None)')),['404'],['404'],"[""HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CFDC8C6F30>; 'Connection to animehd47.com timed out. (connect timeout=None)'))""]",['404'],['404'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Domain Not Live
ISP_BS_AussieBroadband_25Apr_2024.csv,https://lookmovie.ag/,FALSE,FALSE,TRUE,FALSE,200,['200'],['200'],['200'],['200'],['200'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
ISP_BS_AussieBroadband_25Apr_2024.csv,https://katcr.to/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['False', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'N/A', 'False', 'False', 'N/A', 'False', 'False', 'False', 'False', 'False', 'N/A', 'N/A', 'False', 'False', 'False', 'False']",Unblocked
