File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,,Method
ISP_../results/BS_IINet_25APr_2024.csv,http://nocensor.surf/,FALSE,FALSE,FALSE,FALSE,200,['200'],[''],['200'],['200'],[''],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,https://nocensor.casa/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1071ff920>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['200'],"[""HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1071ff920>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['200'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,http://nocensor.fun/,FALSE,FALSE,FALSE,FALSE,200,['200'],['412'],['200'],['200'],['412'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,https://unblockproject.icu/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1072688c0>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['400'],"[""HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1072688c0>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['400'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,https://unblockproject.info/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1072d5fd0>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['410'],"[""HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1072d5fd0>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['410'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,http://123unblock.space/,FALSE,FALSE,FALSE,FALSE,200,['200'],['200'],['200'],['200'],['200'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,https://123unblock.fun/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='123unblock.fun'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111d08a40>: Failed to establish a new connection: [Errno 61] Connection refused')),['200'],['200'],"[""HTTPSConnectionPool(host='123unblock.fun'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111d08a40>: Failed to establish a new connection: [Errno 61] Connection refused'))""]",['200'],['200'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",URL Blocking
ISP_../results/BS_IINet_25APr_2024.csv,http://unbl0ck.online/,FALSE,FALSE,FALSE,FALSE,200,['200'],"['429', '200']",['200'],['200'],"['429', '200']","['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,http://123unblock.icu/,FALSE,FALSE,FALSE,FALSE,200,['200'],[''],['200'],['200'],[''],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
ISP_../results/BS_IINet_25APr_2024.csv,http://prox4you.club/,FALSE,FALSE,FALSE,FALSE,200,['200'],['200'],['200'],['200'],['200'],"['False', 'False', 'N/A', 'False', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'False', 'N/A', 'False', 'N/A', 'N/A', 'False', 'N/A', 'False', 'False', 'False', 'N/A', 'False', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",DNS Poisoning
